source,field,family,materialized,selector_status,priority,allowed_transforms,pit_policy,next_action
nonminute_pit_context_panel_v1,ctx_holder_avg_hold_num,holder_structure,True,selector_candidate,high,announcement_lagged_latest|holder_change|holder_ratio|retail_crowding_proxy|rank_xsection,available_date plus conservative next-trading-day lag,add_named_factor_pack_templates_and_selector_attribution
nonminute_pit_context_panel_v1,ctx_holder_total_market_cap,holder_structure,True,selector_candidate,high,announcement_lagged_latest|holder_change|holder_ratio|retail_crowding_proxy|rank_xsection,available_date plus conservative next-trading-day lag,add_named_factor_pack_templates_and_selector_attribution
nonminute_pit_context_panel_v1,ctx_holder_total_a_shares,holder_structure,True,selector_candidate,high,announcement_lagged_latest|holder_change|holder_ratio|retail_crowding_proxy|rank_xsection,available_date plus conservative next-trading-day lag,add_named_factor_pack_templates_and_selector_attribution
nonminute_pit_context_panel_v1,ctx_holder_change_shares,holder_structure,True,selector_candidate,high,announcement_lagged_latest|holder_change|holder_ratio|retail_crowding_proxy|rank_xsection,available_date plus conservative next-trading-day lag,add_named_factor_pack_templates_and_selector_attribution
nonminute_pit_context_panel_v1,ctx_holder_close_price,holder_structure,True,selector_candidate,high,announcement_lagged_latest|holder_change|holder_ratio|retail_crowding_proxy|rank_xsection,available_date plus conservative next-trading-day lag,add_named_factor_pack_templates_and_selector_attribution
nonminute_pit_context_panel_v1,ctx_mkt_updown_zt,market_breadth_regime,True,regime_context_not_standalone_alpha,high,regime_gate|market_context|interaction_only|do_not_use_same_day_intraday,lagged daily market context; same-day intraday use forbidden,use_as_gate_or_interaction; do not rank standalone without placebo
nonminute_pit_context_panel_v1,ctx_mkt_updown_dt,market_breadth_regime,True,regime_context_not_standalone_alpha,high,regime_gate|market_context|interaction_only|do_not_use_same_day_intraday,lagged daily market context; same-day intraday use forbidden,use_as_gate_or_interaction; do not rank standalone without placebo
nonminute_pit_context_panel_v1,ctx_mkt_updown_sjzt,market_breadth_regime,True,regime_context_not_standalone_alpha,high,regime_gate|market_context|interaction_only|do_not_use_same_day_intraday,lagged daily market context; same-day intraday use forbidden,use_as_gate_or_interaction; do not rank standalone without placebo
nonminute_pit_context_panel_v1,ctx_mkt_updown_sjdt,market_breadth_regime,True,regime_context_not_standalone_alpha,high,regime_gate|market_context|interaction_only|do_not_use_same_day_intraday,lagged daily market context; same-day intraday use forbidden,use_as_gate_or_interaction; do not rank standalone without placebo
nonminute_pit_context_panel_v1,ctx_mkt_updown_stzt,market_breadth_regime,True,regime_context_not_standalone_alpha,high,regime_gate|market_context|interaction_only|do_not_use_same_day_intraday,lagged daily market context; same-day intraday use forbidden,use_as_gate_or_interaction; do not rank standalone without placebo
nonminute_pit_context_panel_v1,ctx_mkt_updown_stdt,market_breadth_regime,True,regime_context_not_standalone_alpha,high,regime_gate|market_context|interaction_only|do_not_use_same_day_intraday,lagged daily market context; same-day intraday use forbidden,use_as_gate_or_interaction; do not rank standalone without placebo
nonminute_pit_context_panel_v1,ctx_mkt_updown_szjs,market_breadth_regime,True,regime_context_not_standalone_alpha,high,regime_gate|market_context|interaction_only|do_not_use_same_day_intraday,lagged daily market context; same-day intraday use forbidden,use_as_gate_or_interaction; do not rank standalone without placebo
nonminute_pit_context_panel_v1,ctx_mkt_updown_xdjs,market_breadth_regime,True,regime_context_not_standalone_alpha,high,regime_gate|market_context|interaction_only|do_not_use_same_day_intraday,lagged daily market context; same-day intraday use forbidden,use_as_gate_or_interaction; do not rank standalone without placebo
nonminute_pit_context_panel_v1,ctx_mkt_updown_q_zrcs,market_breadth_regime,True,regime_context_not_standalone_alpha,high,regime_gate|market_context|interaction_only|do_not_use_same_day_intraday,lagged daily market context; same-day intraday use forbidden,use_as_gate_or_interaction; do not rank standalone without placebo
nonminute_pit_context_panel_v1,ctx_mkt_updown_q_zrtj,market_breadth_regime,True,regime_context_not_standalone_alpha,high,regime_gate|market_context|interaction_only|do_not_use_same_day_intraday,lagged daily market context; same-day intraday use forbidden,use_as_gate_or_interaction; do not rank standalone without placebo
nonminute_pit_context_panel_v1,ctx_mkt_updown_qscln,market_breadth_regime,True,regime_context_not_standalone_alpha,high,regime_gate|market_context|interaction_only|do_not_use_same_day_intraday,lagged daily market context; same-day intraday use forbidden,use_as_gate_or_interaction; do not rank standalone without placebo
nonminute_pit_context_panel_v1,ctx_mkt_updown_s_zrcs,market_breadth_regime,True,regime_context_not_standalone_alpha,high,regime_gate|market_context|interaction_only|do_not_use_same_day_intraday,lagged daily market context; same-day intraday use forbidden,use_as_gate_or_interaction; do not rank standalone without placebo
nonminute_pit_context_panel_v1,ctx_mkt_updown_s_zrtj,market_breadth_regime,True,regime_context_not_standalone_alpha,high,regime_gate|market_context|interaction_only|do_not_use_same_day_intraday,lagged daily market context; same-day intraday use forbidden,use_as_gate_or_interaction; do not rank standalone without placebo
nonminute_pit_context_panel_v1,ctx_mkt_updown_szln,market_breadth_regime,True,regime_context_not_standalone_alpha,high,regime_gate|market_context|interaction_only|do_not_use_same_day_intraday,lagged daily market context; same-day intraday use forbidden,use_as_gate_or_interaction; do not rank standalone without placebo
nonminute_pit_context_panel_v1,ctx_mkt_updown_zt_dt_ratio,market_breadth_regime,True,regime_context_not_standalone_alpha,high,regime_gate|market_context|interaction_only|do_not_use_same_day_intraday,lagged daily market context; same-day intraday use forbidden,use_as_gate_or_interaction; do not rank standalone without placebo
